[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-18-50-22-197273-pro-54144
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [54169]
[INFO] [teleop_node-2]: process started with pid [54171]
[INFO] [driver-3]: process started with pid [54173]
[INFO] [sonar_array-4]: process started with pid [54175]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [54178]
[teleop_node-2] [INFO] [1716144622.714749759] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716144622.714966915] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716144622.715013028] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716144623.194796098] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716144633.841236587] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.19m, C:0.92m, R:0.60m
[obstacle_avoid_sonar-5] [INFO] [1716144633.890587290] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.19m, C:0.92m, R:0.60m
[obstacle_avoid_sonar-5] [INFO] [1716144633.942786544] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.19m, C:0.92m, R:0.60m
[obstacle_avoid_sonar-5] [INFO] [1716144633.992918332] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.19m, C:0.92m, R:0.60m
[obstacle_avoid_sonar-5] [INFO] [1716144634.043596359] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.19m, C:0.92m, R:0.60m
[obstacle_avoid_sonar-5] [INFO] [1716144634.096146826] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.19m, C:0.92m, R:0.60m
[obstacle_avoid_sonar-5] [INFO] [1716144634.144767813] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.19m, C:0.92m, R:0.60m
[obstacle_avoid_sonar-5] [INFO] [1716144634.196186756] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.19m, C:0.92m, R:0.60m
[obstacle_avoid_sonar-5] [INFO] [1716144634.241323744] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:1.25m, C:1.92m, R:0.60m
[obstacle_avoid_sonar-5] [INFO] [1716144634.251499029] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.25m, C:1.92m, R:0.57m
[obstacle_avoid_sonar-5] [INFO] [1716144634.296307338] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.25m, C:1.92m, R:0.57m
[obstacle_avoid_sonar-5] [INFO] [1716144634.348450919] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.25m, C:1.92m, R:0.57m
[obstacle_avoid_sonar-5] [INFO] [1716144634.399622260] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.25m, C:1.92m, R:0.57m
[obstacle_avoid_sonar-5] [INFO] [1716144634.449704284] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.25m, C:1.92m, R:0.57m
[obstacle_avoid_sonar-5] [INFO] [1716144634.499649265] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.25m, C:1.92m, R:0.57m
[obstacle_avoid_sonar-5] [INFO] [1716144634.551011835] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.25m, C:1.92m, R:0.57m
[obstacle_avoid_sonar-5] [INFO] [1716144634.600675843] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.25m, C:1.92m, R:0.57m
[obstacle_avoid_sonar-5] [INFO] [1716144634.647610305] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:1.25m, C:1.92m, R:0.57m
[obstacle_avoid_sonar-5] [INFO] [1716144634.657617120] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.25m, C:1.92m, R:0.57m
[obstacle_avoid_sonar-5] [INFO] [1716144634.704500710] [obst_avoid_node]: AVOIDING: Object detected on the RIGHT. Ranges: L:1.25m, C:1.92m, R:0.57m
[obstacle_avoid_sonar-5] [INFO] [1716144636.236681837] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.16m
[obstacle_avoid_sonar-5] [INFO] [1716144636.273855080] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.321243273] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.331316608] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.375998072] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.423005734] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.433980528] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.479051488] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.522590151] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.532714061] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.573984881] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.584236445] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.622408595] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.626330313] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.640942482] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.676233248] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.686376771] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.722482678] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.726333338] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.74m, C:0.85m, R:1.28m
[obstacle_avoid_sonar-5] [INFO] [1716144636.742467804] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144636.784089915] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144636.831721988] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144636.873445510] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144636.881614589] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144636.892553178] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144636.934492874] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144636.977217674] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144636.981072001] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144636.996025016] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144637.037213960] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144637.085355585] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144637.122019806] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144637.129879911] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144637.140812313] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144637.173514926] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144637.177563612] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144637.192711818] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.80m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144637.226376280] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.71m, C:0.74m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144637.234386483] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.71m, C:0.74m, R:1.37m
[obstacle_avoid_sonar-5] [INFO] [1716144637.731963090] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.32m
[obstacle_avoid_sonar-5] [INFO] [1716144637.747525534] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144637.781330742] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144637.785339908] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144637.800528227] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144637.841606481] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144637.845762153] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144637.861156442] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144637.902391369] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144637.912838253] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
