[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-19-16-50-328228-pro-60523
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [60548]
[INFO] [teleop_node-2]: process started with pid [60550]
[INFO] [driver-3]: process started with pid [60552]
[INFO] [sonar_array-4]: process started with pid [60554]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [60564]
[teleop_node-2] [INFO] [1716146211.141790621] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716146211.141997945] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716146211.142034036] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716146211.286629385] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716146243.366368928] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.375316960] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.394924783] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.403719174] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.423550728] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.433118511] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.480488095] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.502280415] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.513378927] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.534671064] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.544912336] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.564043458] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
